scorer,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000
bodyparts,nose,nose,nose,head,head,head,neck,neck,neck,body,body,body,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
56,142.8986969,275.555542,1,139.6552734,286.4886169,1,137.813858,300.681366,1,138.4179077,327.8477783,1,146.427597,357.2510986,1
57,134.6598816,279.0917969,1,131.889328,289.4415588,1,133.4350128,303.6553345,1,137.382019,328.191803,1,146.9409027,357.3276367,1
58,127.05513,278.9074707,1,126.9728699,289.0967407,1,128.0944061,303.5294495,1,135.6377716,328.271698,1,145.316452,357.3636475,1
59,123.8859711,276.841095,1,122.592453,287.0103149,1,125.2213745,302.3522034,1,132.9227142,326.4553833,1,143.5484161,357.367218,1
60,120.303978,271.055481,1,119.674675,281.1771851,1,122.7436752,297.400238,1,129.9429779,322.9509583,1,140.425766,355.9161987,1
61,118.0629807,265.4336853,1,117.1863861,275.8273621,1,122.2373505,291.2988281,1,127.4900513,318.7918701,1,137.1372528,353.4786377,1
62,118.0351486,256.9411011,1,117.0077209,267.3701782,1,121.2138901,283.813446,1,126.6092148,313.1521912,1,136.5800018,350.4466858,1
63,119.3260498,251.4819946,1,118.9539871,260.063446,1,121.41465,277.2238464,1,127.3158875,306.9883423,1,137.5501709,343.9136963,1
64,121.4136505,243.7445984,1,119.0533295,251.8634186,1,121.714119,269.3717651,1,125.5659714,299.5920715,1,136.4363403,337.7352295,1
65,123.341423,234.7068481,1,121.8324585,243.7534637,1,122.917984,260.0711975,1,125.5181656,290.0847168,1,132.2241669,327.3248596,1
66,124.8591537,224.7104645,1,122.1288376,234.6768646,1,122.7612991,250.409729,1,124.540329,277.0315247,1,128.0161896,319.1781921,1
67,126.7362671,213.2788239,1,123.1245651,223.187027,1,122.7223206,238.7548828,1,123.0570297,266.4296875,1,127.0679321,309.6919556,1
68,124.7084198,205.7789001,1,122.5862427,214.6091156,1,123.754631,230.5450134,1,124.7918396,257.3283691,1,124.6358032,301.7414856,1
69,126.6058884,198.0341187,1,121.9353104,207.5778656,1,123.2299042,222.3519592,1,123.1852951,250.154953,1,125.1096191,293.6692505,1
70,128.6692505,192.7386932,1,123.7806473,201.6848755,1,122.4391479,217.2885437,1,124.0354767,246.3267975,1,124.37957,287.0619202,1
71,129.1672516,185.6896057,1,124.7198486,194.7325745,1,121.5859909,208.7828979,1,123.1607208,240.7900391,1,126.200386,280.0426331,1
72,131.8127441,178.2536926,1,126.0499115,188.5030365,1,122.945816,202.713501,1,122.3375702,233.5586548,0.99999994,121.2558136,274.0076294,1
73,132.6455994,170.7177887,1,127.8952942,180.3690796,1,124.6817245,194.7115173,1,122.4324722,225.1080322,1,120.5117798,264.28302,1
74,134.4622345,161.3403473,1,129.0217743,170.3432007,1,124.6692581,184.6594238,1,121.5698929,213.29039,1,118.3037949,252.5460052,1
75,135.5152435,150.030304,1,130.0368652,158.3705444,1,125.7328033,172.9239044,1,122.0385208,201.0987854,1,118.7798691,244.363266,1
